Date,Name,Year,Letterboxd URI,Rating
2021-08-24,Mystery of the Wax Museum,1933,https://boxd.it/1gJW,2.5
2021-08-26,The Invisible Man,1933,https://boxd.it/1VoK,3
2021-08-30,All That Money Can Buy,1941,https://boxd.it/1nsy,2
2021-08-30,Evils of the Night,1985,https://boxd.it/2fi8,2
2021-09-11,Plan 9 from Outer Space,1957,https://boxd.it/1W50,1.5
2021-09-16,Disturbing Behavior,1998,https://boxd.it/1YIy,1.5
2021-09-16,Modern Vampires,1998,https://boxd.it/1k5m,2
2021-09-16,Devil in the Flesh,1998,https://boxd.it/Py8,1.5
2021-09-20,I Know What You Did Last Summer,1997,https://boxd.it/2588,3
2021-09-20,Top Girl,1996,https://boxd.it/8M12,0.5
2021-09-23,Leprechaun 2,1994,https://boxd.it/1HIG,1
2021-09-25,A Fistful of Dollars,1964,https://boxd.it/2auo,2.5
2021-10-02,The Addams Family 2,2021,https://boxd.it/nJww,1.5
2021-10-04,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,2.5
2021-10-07,Ghostbusters,1984,https://boxd.it/g2w,3.5
2021-10-07,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,4.5
2021-10-11,The Night Evelyn Came Out of the Grave,1971,https://boxd.it/WKA,2.5
2021-10-26,Dune,2021,https://boxd.it/fA7G,4.5
2021-10-26,Cheerleader Massacre,2003,https://boxd.it/1XtM,1.5
2021-11-05,Cheerleader Camp,1988,https://boxd.it/12vw,1.5
2021-11-05,Ghosthouse,1988,https://boxd.it/1k6k,1
2021-11-05,Clownhouse,1989,https://boxd.it/1vb6,1
2021-11-11,The Most Dangerous Game,1932,https://boxd.it/27Gc,3.5
2021-11-19,The Girl Who Knew Too Much,1963,https://boxd.it/1qou,3
2021-11-19,The 'Burbs,1989,https://boxd.it/1SDi,4
2021-11-24,The Gore Gore Girls,1972,https://boxd.it/1q5s,1
2021-11-26,Pilgrim,2019,https://boxd.it/nTRY,4
2021-12-18,The Man Who Invented Christmas,2017,https://boxd.it/g37q,3
2021-12-19,Blood Night: The Legend of Mary Hatchet,2009,https://boxd.it/Lk2,2.5
2021-12-20,House of Wax,2005,https://boxd.it/1XaU,3
2021-12-20,"Think Fast, Mr. Moto",1937,https://boxd.it/hLC,1.5
2021-12-21,Brides of Blood,1968,https://boxd.it/2Hkc,1.5
2021-12-21,Coyote Ugly,2000,https://boxd.it/21PW,2.5
2021-12-21,How Sweet It Is!,1968,https://boxd.it/77hm,1
2021-12-22,High School Confidential!,1958,https://boxd.it/Vfw,2
2021-12-22,The Whip and the Body,1963,https://boxd.it/1rl2,2.5
2021-12-22,Alexander The Great,1968,https://boxd.it/8xv2,2
2021-12-22,Bride of Frankenstein,1935,https://boxd.it/2aPc,3
2021-12-22,House of Wax,1953,https://boxd.it/1GGE,2
2021-12-22,The Fly,1958,https://boxd.it/1T1E,3.5
2021-12-23,Fahrenheit 451,1966,https://boxd.it/28fw,2.5
2021-12-23,"Daddy, Darling",1970,https://boxd.it/4BIc,1
2021-12-23,Scars of Dracula,1970,https://boxd.it/1dOY,2.5
2021-12-25,Sorority Row,2009,https://boxd.it/1tn0,3
2021-12-25,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,5
2021-12-30,Don't Look Up,2021,https://boxd.it/o0Hc,5
2022-01-04,The Whole Truth,2021,https://boxd.it/xOly,2.5
2022-01-10,Zombie Lake,1981,https://boxd.it/1B0y,1
2022-01-17,Easy A,2010,https://boxd.it/17DK,3
2022-01-20,The Godfather,1972,https://boxd.it/2aNK,5
2022-01-24,Battle Beyond the Stars,1980,https://boxd.it/1O2W,3.5
2022-02-01,The Disappearance of Alice Creed,2009,https://boxd.it/15M6,3.5
2022-02-01,The Girl with the Hungry Eyes,1995,https://boxd.it/biUs,0.5
2022-02-06,Mysterious Mr. Moto,1938,https://boxd.it/1nnS,2
2022-02-08,Modesty Blaise,1966,https://boxd.it/1a8U,2
2022-02-10,Pulp Fiction,1994,https://boxd.it/29Pq,5
2022-02-12,The Count of Monte Cristo,2002,https://boxd.it/1U24,5
2022-02-20,All of Us Are Dead,2022,https://boxd.it/zeGO,2.5
2022-02-22,End of Days,1999,https://boxd.it/1XsO,2.5
2022-02-22,Call Me,1988,https://boxd.it/Y7q,2
2022-02-23,Death Spa,1988,https://boxd.it/1pHq,1
2022-02-23,The Bride,1985,https://boxd.it/1oge,2.5
2022-02-24,The Empty Man,2020,https://boxd.it/iIWS,4.5
2022-02-26,Nobody,2021,https://boxd.it/mLqS,4
2022-02-27,The Night Eats the World,2018,https://boxd.it/gmgQ,2
2022-02-27,Squid Game,2021,https://boxd.it/x1OG,3.5
2022-03-01,Free Guy,2021,https://boxd.it/k8dm,2.5
2022-03-06,Terminator 3: Rise of the Machines,2003,https://boxd.it/2aES,2
2022-03-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,2
2022-03-11,Murder.com,2008,https://boxd.it/1Nlo,0.5
2022-03-24,Revenge of the Nerds,1984,https://boxd.it/1ORq,1.5
2022-03-24,Zapped!,1982,https://boxd.it/1yD8,0.5
2022-04-03,The Prowler,1981,https://boxd.it/Sr0,2.5
2022-04-07,Saw,2004,https://boxd.it/2aWW,3.5
2022-04-15,Twilight Zone: The Movie,1983,https://boxd.it/1Mtw,2
2022-04-25,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2022-04-26,976-EVIL,1988,https://boxd.it/1yrw,1
2022-04-28,Saving Private Ryan,1998,https://boxd.it/29ro,5
2022-05-05,Campfire Tales,1997,https://boxd.it/1Kmy,1.5
2022-05-08,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,2
2022-05-10,Jeepers Creepers,2001,https://boxd.it/1ZAg,3
2022-05-10,Kick-Ass,2010,https://boxd.it/1zaQ,4
2022-05-10,American Pie,1999,https://boxd.it/27qy,3
2022-05-10,Hex,2018,https://boxd.it/kNXq,2
2022-05-13,Sleeping Beauty,1959,https://boxd.it/1V9A,2.5
2022-05-16,Deep Blue Sea,1999,https://boxd.it/1ZBo,2
2022-05-19,The Final Terror,1983,https://boxd.it/24xG,1.5
2022-05-19,Big Bad Wolves,2013,https://boxd.it/5hOQ,2.5
2022-05-21,36 Hours,1964,https://boxd.it/17La,2.5
2022-05-22,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3.5
2022-05-23,The Northman,2022,https://boxd.it/nK2s,3.5
2022-05-26,Urban Legend,1998,https://boxd.it/1XDi,3.5
2022-05-29,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u,4.5
2022-05-29,Hands of Steel,1986,https://boxd.it/2gn4,1
2022-05-30,Hard Candy,2005,https://boxd.it/26vs,5
2022-05-30,Hardcore,1979,https://boxd.it/XyA,3
2022-05-30,Hell Night,1981,https://boxd.it/1pJc,1.5
2022-05-30,The Amityville Horror,2005,https://boxd.it/1Xb4,2
2022-06-01,The Locked Door,1929,https://boxd.it/14Ao,3
2022-06-01,2019: After the Fall of New York,1983,https://boxd.it/1yK4,2.5
2022-06-04,Eraser,1996,https://boxd.it/1Z6U,2.5
2022-06-05,Paranormal Activity 2,2010,https://boxd.it/ZnO,2
2022-06-05,Pearl Harbor,2001,https://boxd.it/29Q4,2.5
2022-06-05,Twelve Monkeys,1995,https://boxd.it/2beQ,5
2022-06-06,Freeway,1996,https://boxd.it/1Uju,4.5
2022-06-09,America 3000,1986,https://boxd.it/1sbi,1
2022-06-09,Amuck!,1972,https://boxd.it/16I,2
2022-06-09,The Bagman,2002,https://boxd.it/1qhI,0.5
2022-06-10,The Wraith,1986,https://boxd.it/1Xia,2
2022-06-12,Ænigma,1987,https://boxd.it/11JW,1.5
2022-06-14,Wrong Turn,2003,https://boxd.it/1Xzq,2.5
2022-06-14,Lava,2014,https://boxd.it/8S9G,5
2022-06-14,Wrong Turn 2: Dead End,2007,https://boxd.it/1QDA,1
2022-06-15,Seven Women for Satan,1975,https://boxd.it/1lho,1.5
2022-06-18,Jeepers Creepers 2,2003,https://boxd.it/1U3Q,1.5
2022-06-18,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,2.5
2022-06-18,The Wicker Man,1973,https://boxd.it/1KnG,3.5
2022-06-20,Eyeball,1975,https://boxd.it/11HQ,2
2022-06-21,The Last Horror Film,1982,https://boxd.it/lAy,2
2022-06-22,April Fool's Day,1986,https://boxd.it/1wNq,2
2022-06-23,The Apparition,2012,https://boxd.it/2M3K,2
2022-06-23,The Ape,1940,https://boxd.it/18mq,1
2022-06-23,The Astral Factor,1978,https://boxd.it/3NhA,1
2022-06-27,Slaughter High,1986,https://boxd.it/1qK6,2
